State,Latitude,Longitude,Total,Kidney,Liver,Pancreas,Heart,Lung,Kidney-Pancreas,Other
Alabama,32.806671,-86.79113,"1,639","1,405",161,7,22,6,33,5
Alaska,61.370716,-152.404419,142,127,10,0,2,1,2,0
Arizona,33.729759,-111.431221,"1,161",975,100,7,48,12,15,4
Arkansas,34.969704,-92.373123,486,384,50,3,31,7,11,0
California,36.116203,-119.681564,"21,086","18,520","1,861",67,244,104,248,42
Colorado,39.059811,-105.311104,"1,158",982,106,20,22,10,16,2
Connecticut,41.597782,-72.755371,"1,283","1,031",179,3,52,15,2,1
Delaware,39.318523,-75.507141,472,396,51,0,10,7,8,0
District of Columbia,38.897438,-77.026817,247,207,23,2,5,1,8,1
Florida,27.766279,-81.686783,"5,146","4,350",417,27,202,57,72,21
Georgia,33.040619,-83.643074,"3,334","2,879",242,10,130,18,46,9
Hawaii,21.094318,-157.498337,565,533,28,3,0,0,1,0
Idaho,44.240459,-114.478828,264,208,41,1,7,2,4,1
Illinois,40.349457,-88.986137,"4,476","3,765",274,63,179,65,117,13
Indiana,39.849426,-86.258278,"1,546","1,253",122,13,90,21,37,10
Iowa,42.011539,-93.210526,669,536,62,6,30,8,27,0
Kansas,38.5266,-96.726486,476,339,92,2,37,4,2,0
Kentucky,37.66814,-84.670067,"1,158",925,132,8,45,16,31,1
Louisiana,31.169546,-91.867805,"1,831","1,580",129,3,60,11,46,2
Maine,44.693947,-69.381927,485,369,81,7,18,7,3,0
Maryland,39.063946,-76.802101,"3,063","2,313",542,16,108,16,63,5
Massachusetts,42.230171,-71.530106,"3,817","3,070",549,21,99,28,47,3
Michigan,43.326618,-84.536095,"2,622","2,127",223,38,140,51,37,6
Minnesota,45.694454,-93.900192,"1,842","1,466",94,63,64,16,139,0
Mississippi,32.741646,-89.678696,"1,120",971,72,1,42,9,23,2
Missouri,38.456085,-92.288368,"1,496","1,246",149,4,44,11,41,1
Montana,46.921925,-110.454353,186,154,18,1,3,3,7,0
Nebraska,41.12537,-98.268082,341,255,55,5,17,4,2,3
Nevada,38.313515,-117.055374,696,585,74,7,13,3,11,3
New Hampshire,43.452492,-71.563896,488,386,77,3,13,5,4,0
New Jersey,40.298904,-74.521011,"3,655","3,152",246,33,101,31,86,6
New Mexico,34.840515,-106.248482,671,555,80,5,14,4,13,0
New York,42.165726,-74.948051,"8,244","7,089",503,132,276,83,146,15
North Carolina,35.630066,-79.806419,"3,778","3,430",119,36,85,12,89,7
North Dakota,47.528912,-99.784012,168,134,9,5,11,3,5,1
Ohio,40.388783,-82.764915,"2,557","1,957",298,28,170,41,41,22
Oklahoma,35.565342,-96.928917,810,593,169,2,24,11,9,2
Oregon,44.572021,-122.070938,545,419,65,3,30,9,16,3
Pennsylvania,40.590752,-77.209755,"5,320","4,550",413,45,101,67,125,19
Rhode Island,41.680893,-71.51178,441,354,58,2,20,6,1,0
South Carolina,33.856892,-80.945007,"2,221","1,975",89,10,80,8,55,4
South Dakota,44.299782,-99.438828,323,274,34,5,3,2,5,0
Tennessee,35.747845,-86.692345,"2,159","1,886",193,14,34,11,18,3
Texas,31.054487,-97.563461,"11,192","9,277","1,307",29,349,120,102,8
Utah,40.150032,-111.862434,615,474,90,2,34,5,10,0
Vermont,44.045876,-72.710686,161,123,28,0,9,1,0,0
Virginia,37.769337,-78.169968,"3,333","2,738",333,34,116,25,79,8
Washington,47.400902,-121.490494,"1,482","1,200",164,10,41,32,27,8
West Virginia,38.491226,-80.954453,410,297,76,5,16,4,8,4
Wisconsin,44.268543,-89.616508,"1,516","1,207",163,17,63,17,48,1
Wyoming,42.755966,-107.30249,97,80,9,4,1,0,3,0
