Label (Grouping),United States!!Estimate,United States!!Margin of Error,Alabama!!Estimate,Alabama!!Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,California!!Estimate,California!!Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New York!!Estimate,New York!!Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Washington!!Estimate,Washington!!Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error
Total:,"202,981,791","±124,967","3,281,881","±9,108","435,004","±3,285","4,241,669","±22,497","2,115,847","±12,266","15,443,776","±53,506","4,101,383","±14,715","2,354,580","±11,692","609,759","±4,547","253,842","±2,571","12,210,739","±38,554","5,602,328","±16,791","319,677","±5,103","1,548,085","±10,586","7,770,962","±18,654","5,308,520","±10,098","2,696,700","±7,245","2,230,826","±9,340","3,756,439","±5,994","2,675,200","±8,837","1,241,485","±5,621","3,018,844","±10,242","4,832,195","±13,584","7,438,013","±11,993","4,436,857","±9,861","1,654,011","±4,967","4,775,960","±14,472","939,189","±4,341","1,540,520","±5,260","1,560,010","±13,058","1,221,431","±5,611","5,062,888","±17,618","955,024","±13,973","11,022,836","±26,244","6,587,453","±14,829","644,265","±2,399","9,110,505","±12,365","2,617,058","±9,801","3,169,447","±10,266","9,704,692","±13,623","775,695","±6,002","3,301,055","±8,480","722,723","±2,742","5,097,360","±10,621","14,129,750","±66,040","2,647,741","±11,172","588,142","±2,542","5,251,112","±13,199","5,139,448","±14,384","1,617,386","±4,044","4,732,002","±8,956","914,840","±20,303"
    Male:,"100,721,875","±70,974","1,609,702","±5,390","229,752","±2,148","2,110,162","±13,742","1,045,395","±7,178","7,739,344","±28,411","2,071,289","±8,474","1,153,416","±6,473","295,365","±2,492","125,842","±1,807","6,022,787","±23,738","2,773,929","±10,730","169,642","±2,765","776,118","±6,312","3,846,477","±10,692","2,631,892","±6,514","1,343,675","±4,134","1,108,842","±5,582","1,853,891","±4,107","1,325,251","±6,478","611,587","±2,996","1,488,572","±6,022","2,359,518","±7,966","3,702,945","±7,152","2,215,796","±5,556","819,281","±4,337","2,362,456","±9,025","477,322","±2,575","768,842","±3,148","799,771","±7,444","606,454","±3,739","2,490,313","±9,680","473,778","±8,311","5,429,719","±15,791","3,241,871","±10,023","330,644","±1,977","4,496,898","±7,762","1,296,568","±6,505","1,571,974","±6,754","4,789,947","±8,379","378,568","±3,649","1,622,966","±5,849","366,175","±1,815","2,506,559","±7,415","7,033,907","±34,781","1,337,725","±7,011","292,003","±1,526","2,614,659","±8,980","2,582,532","±7,957","801,721","±4,027","2,367,865","±5,053","433,808","±11,289"
        Under 5 years,"4,948,268","±16,515","83,827","±1,539","11,682",±880,"93,920","±3,464","55,670","±2,273","346,062","±5,983","96,707","±2,895","46,793","±1,768","12,475",±516,"5,983",±753,"252,989","±4,884","136,624","±3,707","4,775",±653,"43,831","±1,817","191,382","±2,801","144,643","±2,121","73,951","±1,447","61,817","±1,604","103,753","±2,044","69,104","±2,289","27,394",±555,"69,353","±1,792","100,128","±2,252","180,602","±2,069","113,940","±1,020","46,535","±2,985","126,030","±2,572","23,571",±752,"43,140","±1,034","31,188","±1,812","24,953","±1,253","119,856","±2,360","20,001","±2,391","266,842","±4,165","154,467","±2,899","19,999",±399,"233,690","±2,559","68,708","±1,913","68,181","±1,758","223,000","±2,423","15,466","±1,060","77,996","±1,959","19,668","±1,008","130,599","±2,641","393,491","±8,690","89,397","±2,024","12,216",±512,"127,120","±3,507","119,060","±2,077","39,663","±1,850","112,263","±1,371","13,534","±2,116"
        5 to 9 years,"5,370,610","±37,860","88,219","±3,229","11,086","±1,697","106,585","±4,272","60,165","±3,369","355,229","±9,558","103,515","±4,356","52,981","±3,127","13,802","±1,811","4,368",±851,"268,120","±10,220","148,138","±5,458","8,031","±1,521","55,322","±3,508","211,850","±5,380","153,065","±5,594","79,590","±3,573","69,245","±2,891","111,428","±4,359","77,318","±3,784","26,420","±2,130","78,043","±3,217","109,332","±4,399","197,824","±6,244","121,970","±4,087","44,929","±3,183","135,003","±4,875","27,839","±2,102","47,600","±2,436","39,299","±3,927","27,769","±2,336","126,214","±4,881","25,618","±3,062","276,460","±7,443","163,580","±6,073","20,233","±2,008","254,065","±7,189","73,649","±3,632","80,849","±3,473","235,765","±6,776","16,324","±1,913","88,043","±4,807","22,298","±1,967","143,343","±4,932","445,560","±14,173","103,667","±4,531","14,330","±1,392","140,124","±5,054","132,699","±4,717","42,394","±3,029","117,559","±3,551","21,500","±2,781"
        10 to 14 years,"5,870,506","±36,113","99,071","±3,419","13,932","±1,674","107,119","±4,310","68,477","±3,416","417,390","±10,578","123,335","±4,782","59,907","±3,523","14,668","±1,650","3,313",±789,"308,464","±9,459","178,817","±6,217","6,398","±1,522","50,858","±3,599","215,209","±5,371","170,980","±5,919","84,270","±3,437","69,832","±2,856","120,392","±4,408","83,890","±4,168","35,455","±2,168","82,270","±3,786","124,207","±4,361","214,602","±6,258","133,070","±4,012","53,281","±3,106","145,493","±4,729","27,026","±2,326","50,388","±2,417","40,934","±3,191","33,249","±2,229","144,710","±4,702","26,349","±2,826","292,117","±7,359","187,721","±6,031","20,484","±1,953","267,566","±7,150","82,210","±3,632","85,221","±4,192","268,936","±7,020","17,830","±1,803","90,715","±4,645","22,927","±1,885","144,002","±5,094","461,009","±12,905","107,652","±4,469","15,348","±1,431","152,009","±5,545","141,560","±5,107","49,844","±3,270","139,406","±3,487","25,263","±3,244"
        15 to 17 years,"3,604,515","±16,969","61,015","±1,917","7,187",±665,"68,816","±2,132","42,259","±2,071","247,849","±4,927","69,106","±2,044","39,188","±1,156","9,040",±254,"1,525",±96,"182,836","±4,213","106,761","±3,383","3,124",±525,"32,743","±1,301","141,503","±2,292","105,898","±2,131","53,634","±1,429","43,939","±1,564","71,404","±1,661","49,576","±2,356","20,373",±592,"52,488","±1,423","78,752","±1,558","136,118","±1,471","80,497",±841,"32,076","±2,427","89,074","±2,351","16,644",±925,"32,153","±1,266","24,596","±1,452","20,814",±857,"92,573","±1,968","14,432","±2,014","188,332","±2,281","116,602","±3,542","11,418","±1,088","170,331","±1,795","48,115","±1,400","52,685","±1,788","165,715","±1,937","11,488",±783,"57,920","±1,853","14,647",±820,"90,631","±2,355","273,753","±7,200","69,883","±1,617","9,897",±517,"88,824","±2,044","82,034","±1,900","28,958","±1,722","85,848",±945,"17,064","±2,301"
        18 and 19 years,"2,476,033","±17,336","39,245","±2,082","5,210","±1,077","47,019","±2,208","26,368","±2,272","169,846","±3,636","49,552","±1,964","31,664",±906,"6,749",±238,"3,868",±271,"121,513","±3,963","74,372","±4,025","2,905",±497,"21,009","±1,807","95,803","±3,017","72,246","±3,222","37,577","±1,836","33,357","±2,377","49,384","±2,914","28,716","±2,700","14,055",±711,"34,447","±1,591","67,121","±1,239","95,419","±2,567","51,918","±1,195","22,132","±2,536","63,392","±3,366","10,552","±1,358","21,608","±1,260","14,348","±1,454","15,132","±1,429","55,906","±1,398","10,427","±2,049","136,110","±2,790","81,145","±3,876","9,352","±1,097","114,242","±2,185","32,730","±1,667","33,239","±1,957","119,340","±1,586","11,931",±904,"41,795","±2,167","9,850","±1,191","59,994","±2,986","179,744","±5,274","38,830","±1,995","9,331",±973,"66,808","±2,798","52,171","±1,978","20,415","±1,990","60,403","±1,227","13,782","±2,367"
        20 to 24 years,"6,127,327","±21,565","99,922","±2,494","14,609","±1,111","123,516","±3,464","65,842","±2,585","435,682","±6,375","128,042","±2,584","73,157","±2,077","15,369",±502,"8,060",±273,"299,791","±4,876","178,360","±4,866","13,556",±800,"47,781","±1,916","222,615","±3,576","173,509","±3,072","92,041","±2,167","73,672","±3,242","119,097","±2,950","82,591","±3,144","34,506",±986,"88,105","±1,958","152,060","±1,807","231,798","±2,941","128,701","±1,751","54,513","±3,100","145,622","±2,995","33,061","±1,419","50,021","±1,369","38,180","±1,684","36,208","±1,421","141,922","±2,107","25,116","±2,674","326,406","±3,858","211,326","±4,042","26,550","±1,258","277,900","±2,623","82,187","±2,170","85,912","±2,801","274,310","±2,500","26,162","±1,125","101,519","±2,782","23,140","±1,389","155,532","±3,558","441,899","±9,381","108,718","±2,753","20,557","±1,001","171,589","±3,679","149,971","±3,065","50,736","±2,218","149,462","±1,542","29,833","±3,528"
        25 to 29 years,"6,363,644","±19,155","97,794","±1,740","15,834",±889,"132,802","±3,541","60,064","±2,268","497,915","±5,912","157,931","±2,603","67,275","±1,188","16,500",±952,"15,591",±546,"339,609","±5,260","176,005","±3,483","11,670",±735,"49,391","±1,783","242,573","±2,827","167,492","±1,790","81,870","±1,453","69,253","±1,956","119,954","±1,847","80,099","±2,495","35,531",±841,"90,484","±1,126","155,554","±2,071","235,551","±1,717","135,003","±1,571","45,206","±2,165","146,015","±2,274","29,357",±941,"47,597","±1,075","49,081","±1,363","39,251","±1,044","146,892","±2,211","29,315","±2,596","350,377","±3,011","204,351","±3,342","22,820",±744,"285,024","±1,786","80,629","±1,711","102,759","±2,188","290,944","±2,175","23,314",±720,"94,367","±1,973","21,988",±948,"166,687","±2,347","468,571","±9,217","99,406","±1,750","17,353",±536,"172,601","±3,050","175,145","±2,519","45,452","±1,585","142,099","±1,170","28,883","±3,137"
        30 to 34 years,"6,646,260","±17,990","99,019","±2,052","18,047",±979,"135,406","±2,617","66,043","±1,637","571,271","±5,842","167,098","±2,845","66,186","±1,497","19,235",±846,"18,097",±508,"364,748","±4,916","180,423","±3,339","12,088",±723,"48,449","±1,406","251,228","±2,495","166,943","±1,802","78,809",±935,"69,421","±1,434","114,507","±1,907","87,948","±2,680","38,493",±926,"97,671","±1,688","157,256","±2,287","234,423","±1,949","141,132","±1,026","46,956","±2,221","151,577","±2,204","29,616",±667,"46,760",±834,"55,451","±1,552","39,990",±689,"150,416","±2,097","31,018","±2,544","369,565","±3,735","209,425","±2,943","22,538",±887,"290,322","±1,743","84,960","±1,581","111,959","±2,039","314,689","±1,652","26,490",±724,"100,166","±1,813","22,778",±414,"167,426","±1,991","492,752","±9,008","88,886","±1,429","17,926",±327,"173,136","±3,220","194,417","±2,155","45,574","±1,857","142,393",±898,"22,862","±2,923"
