yr,week,full_wk,n,cum_n
2020,1,,320,320
2020,2,,362,682
2020,3,,370,1052
2020,4,,357,1409
2020,5,,330,1739
2020,6,,376,2115
2020,7,,385,2500
2020,8,,376,2876
2020,9,,362,3238
2020,10,,390,3628
2020,11,,320,3948
2020,12,,203,4151
2020,13,,160,4311
2020,14,,171,4482
2020,15,,167,4649
2020,16,,199,4848
2020,17,,231,5079
2020,18,,232,5311
2020,19,,244,5555
2020,20,,334,5889
2020,21,,307,6196
2020,22,,341,6537
2020,23,,343,6880
2020,24,,343,7223
2020,25,,365,7588
2020,26,,398,7986
2020,27,,316,8302
2020,28,,356,8658
2020,29,,406,9064
2020,30,,398,9462
2020,31,,304,9766
2020,32,,343,10109
2020,33,,338,10447
2020,34,,370,10817
2020,35,,345,11162
2020,36,,313,11475
2020,37,,367,11842
2020,38,,386,12228
2020,39,,362,12590
2020,40,,358,12948
2020,41,,342,13290
2020,42,,358,13648
2020,43,,361,14009
2020,44,,357,14366
2020,45,,361,14727
2020,46,,379,15106
2020,47,,359,15465
2020,48,,319,15784
2020,49,,356,16140
2020,50,,368,16508
2020,51,,323,16831
2020,52,,328,17159
2021,1,,308,308
2021,2,,314,622
2021,3,,320,942
2021,4,,350,1292
2021,5,,303,1595
2021,6,,351,1946
2021,7,,359,2305
2021,8,,337,2642
2021,9,,366,3008
2021,10,,366,3374
2021,11,,361,3735
2021,12,,397,4132
2021,13,,379,4511
2021,14,,374,4885
2021,15,,417,5302
2021,16,,405,5707
2021,17,,371,6078
2021,18,,421,6499
2021,19,,331,6830
2021,20,,394,7224
2021,21,,409,7633
2021,22,,383,8016
2021,23,,408,8424
2021,24,,419,8843
2021,25,,393,9236
2021,26,,404,9640
2021,27,,392,10032
2021,28,,431,10463
2021,29,,416,10879
2021,30,,393,11272
2021,31,,365,11637
2021,32,,378,12015
2021,33,,337,12352
2021,34,,365,12717
2021,35,,333,13050
2021,36,,329,13379
2021,37,,369,13748
2021,38,,351,14099
2021,39,,345,14444
2021,40,,358,14802
2021,41,,352,15154
2021,42,,397,15551
2021,43,,355,15906
2021,44,,357,16263
2021,45,,385,16648
2021,46,,411,17059
2021,47,,351,17410
2021,48,,357,17767
2021,49,,386,18153
2021,50,,386,18539
2021,51,,348,18887
2021,52,,299,19186
2022,1,,297,297
2022,2,,318,615
2022,3,,289,904
2022,4,,336,1240
2022,5,,340,1580
2022,6,,391,1971
2022,7,,363,2334
2022,8,,403,2737
2022,9,,401,3138
2022,10,,409,3547
2022,11,,354,3901
2022,12,,395,4296
2022,13,,394,4690
2022,14,,389,5079
2022,15,,391,5470
2022,16,,424,5894
2022,17,,386,6280
2022,18,,377,6657
2022,19,,364,7021
2022,20,,395,7416
2022,21,,387,7803
2022,22,,344,8147
2022,23,,360,8507
2022,24,,389,8896
2022,25,,409,9305
2022,26,,389,9694
2022,27,,385,10079
2022,28,,421,10500
2022,29,,385,10885
2022,30,,412,11297
2022,31,,349,11646
2022,32,,415,12061
2022,33,,382,12443
2022,34,,368,12811
2022,35,,382,13193
2022,36,,340,13533
2022,37,,375,13908
2022,38,,387,14295
2022,39,,419,14714
2022,40,,415,15129
2022,41,,372,15501
2022,42,,413,15914
2022,43,,422,16336
2022,44,,415,16751
2022,45,,461,17212
2022,46,,444,17656
2022,47,,336,17992
2022,48,,441,18433
2022,49,,416,18849
2022,50,,442,19291
2022,51,,392,19683
2022,52,,410,20093
2023,1,,397,397
2023,2,,388,785
2023,3,,377,1162
2023,4,,426,1588
2023,5,,375,1963
2023,6,,385,2348
2023,7,,429,2777
2023,8,,396,3173
2023,9,,384,3557
2023,10,,396,3953
2023,11,,402,4355
2023,12,,427,4782
2023,13,,391,5173
2023,14,,430,5603
2023,15,,402,6005
2023,16,,449,6454
2023,17,,395,6849
2023,18,,427,7276
2023,19,,434,7710
2023,20,(Partial Week),93,7803
