Index,Age,Ethnicities,Wait Time,All Patient States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,All Ages,All Ethnicities,All Time,"114,059","1,638",142,"1,156",485,"21,066","1,151","1,285",478,247,"5,134","3,333",569,265,"4,452","1,544",670,478,"1,160","1,828",481,"3,079","3,818","2,620","1,845","1,115","1,493",184,336,697,486,"3,663",670,"8,240","3,788",171,"2,552",809,545,"5,316",443,"2,213",323,"2,149","11,181",613,159,"3,339","1,479",407,"1,506",97
1,All Ages,All Ethnicities,< 30 Days,"5,234",39,4,81,32,671,59,45,9,12,366,135,15,11,233,57,38,28,66,84,17,126,94,143,69,61,77,7,27,33,25,142,27,373,198,10,164,56,9,183,13,107,17,110,490,44,5,153,72,31,77,5
2,All Ages,All Ethnicities,30 to < 90 Days,"9,368",92,10,116,59,"1,202",116,99,39,23,592,268,30,28,445,162,95,51,122,169,31,221,198,221,133,105,127,29,49,77,20,276,49,607,302,21,234,93,19,414,25,192,20,176,"1,015",80,7,319,109,47,146,15
3,All Ages,All Ethnicities,90 Days to < 6 Months,"10,151",167,12,155,68,"1,311",87,123,43,20,620,290,24,22,440,168,95,49,120,157,48,280,255,293,153,81,154,25,56,70,51,332,61,707,356,13,233,92,70,468,35,266,24,208,993,74,20,336,139,59,141,12
4,All Ages,All Ethnicities,6 Months to < 1 Year,"17,886",337,13,206,93,"2,544",216,199,73,39,947,511,52,59,715,292,113,108,222,294,70,424,439,449,286,157,274,33,70,140,66,604,95,"1,257",657,25,434,156,104,841,51,414,48,415,"1,898",116,25,582,264,82,253,15
5,All Ages,All Ethnicities,1 Year to < 2 Years,"24,856",438,35,218,105,"3,800",283,301,108,44,"1,037",803,94,62,"1,059",407,155,139,274,403,124,630,890,635,376,246,388,41,73,147,116,823,137,"1,777",868,37,605,183,145,"1,168",90,526,81,450,"2,648",151,51,780,311,74,360,21
6,All Ages,All Ethnicities,2 Years to < 3 Years,"15,243",230,16,128,42,"2,919",159,179,66,26,582,413,101,46,579,179,74,56,165,264,94,418,678,321,217,174,203,13,34,84,83,531,79,989,532,19,354,107,97,671,88,289,43,333,"1,466",69,18,460,220,42,207,11
7,All Ages,All Ethnicities,3 Years to < 5 Years,"18,277",220,34,132,53,"4,326",152,202,94,45,681,535,130,23,591,194,66,33,141,281,63,522,746,318,304,205,160,29,16,81,74,607,134,"1,453",563,23,332,78,72,929,85,266,47,305,"1,767",64,23,456,244,45,188,10
8,All Ages,All Ethnicities,5 or More Years,"13,044",115,18,120,33,"4,293",79,137,46,38,309,378,123,14,390,85,34,14,50,176,34,458,518,240,307,86,110,7,11,65,51,348,88,"1,077",312,23,196,44,29,642,56,153,43,152,904,15,10,253,120,27,134,8
72,0-5 Years,All Ethnicities,All Time,713,8,2,20,7,100,18,5,2,3,47,22,2,1,32,9,1,8,8,6,0,11,11,10,19,3,17,2,6,8,1,20,4,45,15,3,24,6,6,21,3,9,1,11,69,9,2,20,19,6,13,0
