,Ethnicities,All Patient States,Wait Time
0,All Ethnicities,"114,059",All Time
9,White alone,"45,303",All Time
18,Black or African American alone,"32,537",All Time
27,Hispanic or Latino,"24,088",All Time
36,Asian alone,"9,650",All Time
45,American Indian and Alaska Native alone,941,All Time
54,Native Hawaiian and Other Pacific Islander alone,622,All Time
63,Population of two or more races:,918,All Time
72,All Ethnicities,713,All Time
81,White alone,342,All Time
90,Black or African American alone,139,All Time
98,Hispanic or Latino,163,All Time
107,Asian alone,32,All Time
115,American Indian and Alaska Native alone,7,All Time
121,Native Hawaiian and Other Pacific Islander alone,3,All Time
124,Population of two or more races:,27,All Time
131,All Ethnicities,501,All Time
140,White alone,232,All Time
149,Black or African American alone,86,All Time
158,Hispanic or Latino,132,All Time
167,Asian alone,28,All Time
175,American Indian and Alaska Native alone,2,All Time
178,Native Hawaiian and Other Pacific Islander alone,3,All Time
182,Population of two or more races:,18,All Time
190,All Ethnicities,968,All Time
199,White alone,401,All Time
208,Black or African American alone,191,All Time
217,Hispanic or Latino,294,All Time
226,Asian alone,52,All Time
235,American Indian and Alaska Native alone,6,All Time
241,Native Hawaiian and Other Pacific Islander alone,7,All Time
246,Population of two or more races:,17,All Time
255,All Ethnicities,"9,327",All Time
264,White alone,"3,265",All Time
273,Black or African American alone,"2,503",All Time
282,Hispanic or Latino,"2,715",All Time
291,Asian alone,602,All Time
300,American Indian and Alaska Native alone,79,All Time
309,Native Hawaiian and Other Pacific Islander alone,53,All Time
318,Population of two or more races:,110,All Time
327,All Ethnicities,"25,551",All Time
336,White alone,"8,019",All Time
345,Black or African American alone,"8,371",All Time
354,Hispanic or Latino,"6,311",All Time
363,Asian alone,"2,193",All Time
372,American Indian and Alaska Native alone,263,All Time
381,Native Hawaiian and Other Pacific Islander alone,155,All Time
390,Population of two or more races:,239,All Time
399,All Ethnicities,"48,608",All Time
408,White alone,"18,670",All Time
417,Black or African American alone,"14,542",All Time
426,Hispanic or Latino,"10,324",All Time
435,Asian alone,"4,024",All Time
444,American Indian and Alaska Native alone,402,All Time
453,Native Hawaiian and Other Pacific Islander alone,307,All Time
462,Population of two or more races:,339,All Time
471,All Ethnicities,"28,391",All Time
480,White alone,"14,374",All Time
489,Black or African American alone,"6,705",All Time
498,Hispanic or Latino,"4,149",All Time
507,Asian alone,"2,719",All Time
516,American Indian and Alaska Native alone,182,All Time
525,Native Hawaiian and Other Pacific Islander alone,94,All Time
534,Population of two or more races:,168,All Time
