,Age,Ethnicities,Wait Time,All Patient States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0,All Ages,All Ethnicities,All Time,"114,059","1,638",142,"1,156",485,"21,066","1,151","1,285",478,247,"5,134","3,333",569,265,"4,452","1,544",670,478,"1,160","1,828",481,"3,079","3,818","2,620","1,845","1,115","1,493",184,336,697,486,"3,663",670,"8,240","3,788",171,"2,552",809,545,"5,316",443,"2,213",323,"2,149","11,181",613,159,"3,339","1,479",407,"1,506",97
9,All Ages,White alone,All Time,"45,303",681,69,451,239,"4,472",653,606,198,34,"2,141",901,61,202,"1,769",957,512,324,807,578,433,"1,005","2,240","1,597","1,141",328,911,150,234,269,428,"1,394",167,"2,757","1,344",130,"1,621",460,356,"2,772",280,735,188,"1,052","3,078",419,148,"1,369",827,355,"1,051",75
18,All Ages,Black or African American alone,All Time,"32,537",904,17,126,184,"2,131",117,374,230,179,"1,734","2,127",10,3,"1,479",420,72,60,304,"1,168",26,"1,698",679,776,309,761,454,2,36,124,21,"1,240",24,"2,734","1,988",10,803,127,23,"1,844",58,"1,361",14,909,"2,795",15,2,"1,447",139,44,231,5
27,All Ages,Hispanic or Latino,All Time,"24,088",22,4,401,30,"9,725",300,209,29,26,953,162,27,39,879,116,51,60,29,40,7,177,587,111,134,9,49,7,40,174,18,591,345,"1,712",203,4,67,79,101,422,75,72,10,81,"4,675",112,3,243,187,3,93,11
36,All Ages,Asian alone,All Time,"9,650",25,27,47,11,"4,158",55,70,19,5,247,130,310,4,285,44,18,17,16,34,12,178,286,84,213,9,53,7,10,91,17,418,10,965,119,2,51,21,35,245,24,35,7,56,545,20,4,243,235,3,101,0
45,All Ages,American Indian and Alaska Native alone,All Time,941,5,8,116,2,93,13,2,1,0,15,4,2,7,9,3,8,3,0,4,1,8,4,23,26,7,8,16,8,9,0,0,123,20,51,22,2,99,5,8,3,2,91,2,32,19,1,3,23,0,22,5
54,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,622,0,15,4,2,275,5,1,1,0,9,3,83,6,7,2,5,0,2,3,2,2,6,3,3,1,4,0,2,19,0,3,1,4,8,1,3,5,13,2,2,3,0,2,24,21,0,10,50,0,1,0
63,All Ages,Population of two or more races:,All Time,918,1,2,11,17,212,8,23,0,3,35,6,76,4,24,2,4,14,2,1,0,11,16,26,19,0,14,2,6,11,2,17,0,48,75,2,5,18,12,23,1,5,13,47,32,7,1,24,18,2,7,1
72,0-5 Years,All Ethnicities,All Time,713,8,2,20,7,100,18,5,2,3,47,22,2,1,32,9,1,8,8,6,0,11,11,10,19,3,17,2,6,8,1,20,4,45,15,3,24,6,6,21,3,9,1,11,69,9,2,20,19,6,13,0
81,0-5 Years,White alone,All Time,342,4,1,10,3,31,11,2,2,0,19,9,0,0,12,8,0,5,7,5,0,5,5,8,7,3,8,0,1,3,1,10,0,22,8,2,13,4,3,12,1,3,1,6,35,4,2,12,7,6,8,0
