Age,All Ages,0-5 years,6-10 Years,11-17 years,18-34 years,35-49 years,50-64 years,65 and Older
United States,202981791,11769004,10669038,16133285,42535959,37798436,41808289,42267781
Alabama,3281881,197779,177870,275728,670933,610041,679220,670310
Alaska,435004,27038,23884,35193,98926,88856,88931,72177
Arizona,4241669,228891,206082,302054,853839,741378,846156,1063270
Arkansas,2115847,130752,118845,184544,432699,393296,418528,437184
California,15443776,831944,729665,1128772,3257084,2957281,3211518,3327513
Colorado,4101383,229927,210661,320437,969852,838033,796997,735476
Connecticut,2354580,111684,106814,170841,468973,415989,545008,535272
Delaware,609759,30900,28179,41492,115411,103269,133642,156867
District of Columbia,253842,14057,8222,7994,98599,63038,32387,29545
Florida,12210739,604141,540789,825851,2219668,2043902,2586285,3390104
Georgia,5602328,326871,303529,480531,1197019,1066323,1156617,1071439
Hawaii,319677,14132,14602,16070,72616,62182,63202,76874
Idaho,1548085,107222,103614,150017,326105,289335,284277,287514
Illinois,7770962,452866,418881,611087,1599517,1481515,1631429,1575667
Indiana,5308520,344147,304660,467700,1149295,987937,1065912,988868
Iowa,2696700,174642,157500,234187,570293,491332,530855,537892
Kansas,2230826,145484,133599,195570,480766,408508,432100,434800
Kentucky,3756439,242016,217209,328331,797344,711855,760874,698809
Louisiana,2675200,166683,150818,227142,552370,514572,539310,524304
Maine,1241485,64255,58202,90822,241650,225752,277299,283506
Maryland,3018844,166684,151895,230855,614697,565389,655564,633762
Massachusetts,4832195,236122,217027,343449,1070311,872163,1065229,1027895
Michigan,7438013,430667,390524,601348,1560545,1343256,1581543,1530131
Minnesota,4436857,270594,242764,364579,899011,849999,928351,881559
Mississippi,1654011,102101,90998,146711,334413,308389,332246,339155
Missouri,4775960,298675,266036,401514,1007756,896353,965544,940083
Montana,939189,54986,53527,74576,198560,173597,184653,199291
Nebraska,1540520,103558,93475,138555,328205,286990,294412,295326
Nevada,1560010,77991,75644,111335,300387,301547,334416,358691
New Hampshire,1221431,60876,56697,91795,256395,220647,280588,254434
New Jersey,5062888,282695,252876,406259,977468,906349,1133159,1104082
New Mexico,955024,49994,49510,65144,186593,169704,189050,245029
New York,11022836,626798,545180,824290,2351277,1996032,2314850,2364410
North Carolina,6587453,363157,329463,508232,1392426,1235665,1386885,1371626
North Dakota,644265,45196,39066,55418,153975,117071,115437,118103
Ohio,9110505,558533,497987,751264,1915824,1678781,1889764,1818351
Oklahoma,2617058,159162,146434,221896,553333,498043,514859,523331
Oregon,3169447,162998,155552,236089,661049,630297,626825,696637
Pennsylvania,9704692,529055,478527,736153,1972713,1761943,2082349,2143953
Rhode Island,775695,35794,32692,50549,171930,137692,173995,173044
South Carolina,3301055,184087,170306,255362,671566,603290,687139,729307
South Dakota,722723,48789,44056,62638,149333,128961,142902,146045
Tennessee,5097360,308798,276909,408798,1090346,968385,1049035,995089
Texas,14129750,946327,872207,1260314,3124655,2729598,2687690,2508959
Utah,2647741,213595,203631,298610,664788,513117,405228,348772
Vermont,588142,29312,27243,44216,127093,105858,126657,127763
Virginia,5251112,305129,277228,409478,1132988,1009276,1080760,1036254
Washington,5139448,281544,260489,382563,1103410,1023798,1046209,1041436
West Virginia,1617386,94398,86936,132339,318923,302697,333322,348771
Wisconsin,4732002,265397,241529,380689,969954,875703,1024477,974253
