Ethnicities,Total:,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Population of two or more races:
United States,331449281,62080044,191697647,39940338,2251699,19618719,622018,13548983
Alabama,5024279,264047,3171351,1288159,23119,75918,2612,184618
Alaska,733391,49824,421758,20731,108838,43449,12455,71761
Arizona,7151502,2192253,3816547,317161,263930,248837,14323,266840
Arkansas,3011524,256847,2063550,449884,20549,51210,14280,147157
California,39538223,15579652,13714587,2119286,156085,5978795,138167,1627722
Colorado,5773714,1263390,3760663,221310,33768,195220,9005,260798
Connecticut,3605944,623293,2279232,360937,6404,170459,974,137569
Delaware,989948,104290,579851,212960,2521,42398,304,43023
District of Columbia,689545,77652,261771,282066,1277,33192,349,29485
Florida,21538187,5697240,11100503,3127052,42169,629626,11521,792143
Georgia,10711908,1123457,5362156,3278119,20375,475680,6101,390133
Hawaii,1455271,138923,314365,21877,2321,531558,149054,291890
Idaho,1839106,239407,1450523,14785,18903,26036,3401,77808
Illinois,12812508,2337410,7472751,1775612,16561,747280,2959,414855
Indiana,6785528,554191,5121004,637500,12938,166651,2761,265344
Iowa,3190369,215986,2638201,129321,9079,75017,5605,108673
Kansas,2937880,382603,2122575,163352,21921,85225,3115,149025
Kentucky,4505836,207854,3664764,357764,8080,73843,3462,175363
Louisiana,4657757,322549,2596702,1452420,25994,85336,1706,156096
Maine,1362359,26609,1228264,25115,7293,16668,407,53573
Maryland,6177224,729745,2913782,1795027,12055,417962,2575,270764
Massachusetts,7029917,887685,4748897,457055,9387,504900,1607,328278
Michigan,10077331,564422,7295651,1358458,47406,332288,2603,439320
Minnesota,5706494,345640,4353880,392850,57046,297460,2621,236034
Mississippi,2961279,105220,1639077,1079001,14019,32305,1037,83446
Missouri,6154913,303068,4663907,692774,23496,132158,9293,307840
Montana,1084225,45199,901318,5077,64592,8077,839,54749
Nebraska,1961504,234715,1484687,94405,15051,52359,1318,72634
Nevada,3104614,890257,1425952,291960,23392,265991,22970,166921
New Hampshire,1377529,59454,1200649,18655,2299,35604,388,54564
New Jersey,9288994,2002575,4816381,1154142,11206,942921,1944,289471
New Mexico,2117522,1010811,772952,38330,188610,35261,1451,59767
New York,20201249,3948032,10598907,2759022,54908,1916329,6097,720847
North Carolina,10439388,1118596,6312148,2107526,100886,340059,6980,406853
North Dakota,779094,33412,636160,26152,37350,13050,869,30248
Ohio,11799448,521308,8954135,1457180,18949,296604,4493,501562
Oklahoma,3959353,471931,2407188,283242,311890,89653,8168,373679
Oregon,4237256,588757,3036158,78658,42042,191797,18197,258685
Pennsylvania,13002700,1049615,9553417,1368978,15028,506674,3162,451285
Rhode Island,1097379,182101,754050,55386,3513,38367,320,52250
South Carolina,5118425,352838,3178552,1269031,16591,89394,3085,189580
South Dakota,886667,38741,705583,17441,74595,13332,493,34432
Tennessee,6910840,479187,4900246,1083772,15539,134302,3594,270223
Texas,29145505,11441717,11584597,3444712,85425,1561518,27857,886095
Utah,3271616,492912,2465355,37192,28690,78618,35831,120452
Vermont,643077,15504,573201,8649,1986,11457,170,29549
Virginia,8631393,908749,5058363,1578090,19080,610612,6195,404910
Washington,7705281,1059213,4918820,296170,91191,723062,62490,511114
West Virginia,1793716,34827,1598834,64749,3187,14903,429,72135
Wisconsin,5893718,447290,4634018,366508,48384,174267,1892,203746
